old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_2_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_2_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_3_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_3_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_4_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_4_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_5_C8FB9ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_5_C8FB9ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_5_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_5_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_6_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_6_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_7_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_7_C8P57ACXX.IND8	TARA_B100000658
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_8_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_8_C8P57ACXX.IND8	TARA_B100000658
TARA_132_DCM_0.22-3_T	BEZ_AISAOSW_1_C8P55ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AISAOSW_1_C8P55ACXX.IND9	TARA_B100000660
TARA_132_DCM_0.22-3_T	BEZ_AISAOSW_2_C8P55ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AISAOSW_2_C8P55ACXX.IND9	TARA_B100000660
TARA_132_DCM_0.22-3_T	BEZ_AISAOSW_3_C8FB9ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AISAOSW_3_C8FB9ACXX.IND9	TARA_B100000660
TARA_132_DCM_0.22-3_T	BEZ_AISAOSW_3_C8P55ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AISAOSW_3_C8P55ACXX.IND9	TARA_B100000660
TARA_132_DCM_0.22-3_T	BEZ_AISAOSW_4_C8P55ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AISAOSW_4_C8P55ACXX.IND9	TARA_B100000660
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_1_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_1_C8P3BACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_2_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_2_C8P3BACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_4_C8FB9ACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_4_C8FB9ACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_4_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_4_C8P3BACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_5_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_5_C8P3BACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_6_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_6_C8P3BACXX.IND10	TARA_B100001242
TARA_132_MES_0.22-3_T	BEZ_AITAOSW_7_C8P3BACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AITAOSW_7_C8P3BACXX.IND10	TARA_B100001242
TARA_133_SRF_0.22-3_T	BEZ_AIVAOSW_2_C8NY9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIVAOSW_2_C8NY9ACXX.IND3	TARA_B100001089
TARA_133_SRF_0.22-3_T	BEZ_AIVAOSW_3_C8NY9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIVAOSW_3_C8NY9ACXX.IND3	TARA_B100001089
TARA_133_SRF_0.22-3_T	BEZ_AIVAOSW_4_C8NY9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIVAOSW_4_C8NY9ACXX.IND3	TARA_B100001089
TARA_133_SRF_0.22-3_T	BEZ_AIVAOSW_5_C8NY9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIVAOSW_5_C8NY9ACXX.IND3	TARA_B100001089
